category,name,url,price,rating,reviews_count,image_url,description,brand,color,laptop_type,processor_brand,processor_model,ram_gb,ram_type,gpu_brand,gpu_model,has_dedicated_gpu,storage_gb,storage_type,screen_size,display_type,touchscreen,weight_kg,battery_whr,os,good_for_gaming,good_for_video_editing,good_for_programming,good_for_students,good_for_business
laptop,ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th...,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj321ws-thin-light-laptop/p/itmf2da9c7085e1b?pid=COMGNRNUUGYRB96A&lid=LSTCOMGNRNUUGYRB96AXULOGS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_89&otracker=browse&fm=organic&iid=0bd05324-8c4b-4d67-b28d-08c0558abc8a.COMGNRNUUGYRB96A.SEARCH&ppt=None&ppn=None&ssid=v78895f37k0000001764345646710,30990,4.3,290,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/n/w/-original-imahg5fur7csf5kn.jpeg?q=70,"ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Th.... powered by AMD Ryzen 3. 8GB LPDDR5 RAM. 512.0GB SSD. AMD Radeon Amd graphics. 15.6"" Full HD display. weighs 1.63kg. running Windows 11 Home.",ASUS,Silver,Thin and Light Laptop,AMD,Ryzen 3,8,LPDDR5,AMD,Radeon Amd,TRUE,512,SSD,15.6,Full HD,FALSE,1.63,,Windows 11 Home,TRUE,FALSE,FALSE,TRUE,TRUE
laptop,DELL Inspiron 5440 (2025) Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 54...,https://www.flipkart.com/dell-inspiron-5440-2025-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm1dc3eb60c7b18?pid=COMHERGYAJHHW4AN&lid=LSTCOMHERGYAJHHW4ANUTRYZH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_90&otracker=browse&fm=organic&iid=0bd05324-8c4b-4d67-b28d-08c0558abc8a.COMHERGYAJHHW4AN.SEARCH&ppt=None&ppn=None&ssid=v78895f37k0000001764345646710,34490,4,9,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/e/x/8/inspiron-5440-thin-and-light-laptop-dell-original-imahergyhvuezy2g.jpeg?q=70,"DELL Inspiron 5440 (2025) Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 54.... powered by Intel Core i3. 8GB DDR5 RAM. 512.0GB SSD. 14.0"" IPS display. weighs 1.5kg. running Windows 11 Home.",DELL,Ice Blue,Thin and Light Laptop,Intel,Core i3,8,DDR5,Intel,Integrated Graphics,FALSE,512,SSD,14,IPS,TRUE,1.5,,Windows 11 Home,FALSE,FALSE,FALSE,TRUE,TRUE
laptop,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS | ...,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj132ws-e1504fa-nj521ws-thin-light-laptop/p/itm657eb80ea799a?pid=COMH9499JNGDGTZ5&lid=LSTCOMH9499JNGDGTZ5WJGUDN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_91&otracker=browse&fm=organic&iid=en_WbUK-fjYz_z09FknnULjjp_dFBWsdzrMgXilkIOdRgKHkIEO6miAr4tGaqVYJr9kxu0SnwRnU0-3x48vd2ae0KV8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=v78895f37k0000001764345646710,36990,4.2,49,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/b/i/-original-imahg53xeuxqm6bv.jpeg?q=70,"ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS | .... powered by AMD Ryzen 5. 8GB LPDDR5 RAM. 512.0GB SSD. AMD Radeon Amd graphics. 15.6"" Full HD display. weighs 1.63kg. running Windows 11 Home.",ASUS,Cool Silver,Thin and Light Laptop,AMD,Ryzen 5,8,LPDDR5,AMD,Radeon Amd,TRUE,512,SSD,15.6,Full HD,FALSE,1.63,,Windows 11 Home,TRUE,FALSE,FALSE,TRUE,TRUE
laptop,"ASUS Vivobook S14 Flip (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen...",https://www.flipkart.com/asus-vivobook-s14-flip-2025-office-2024-m365-basic-backlit-keyboard-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-tp3402vao-lz612ws-2-1-laptop/p/itme494b3629a714?pid=COMH9SJ9VAJ7ZD99&lid=LSTCOMH9SJ9VAJ7ZD99ZNVNMB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_92&otracker=browse&fm=organic&iid=en_WbUK-fjYz_z09FknnULjjp_dFBWsdzrMgXilkIOdRgKgYmdp53SI36D6iiFyY7qodFkRelIWHe0RXA3B_oL1dA891ypMzu4_aryI8_sihJ8%3D&ppt=None&ppn=None&ssid=v78895f37k0000001764345646710,63990,4.4,51,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/s/e/-original-imahg4ut9hnhkwhg.jpeg?q=70,"ASUS Vivobook S14 Flip (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen.... powered by Intel Core i5. 16GB DDR4 RAM. 512.0GB SSD. 14.0"" IPS display. weighs 1.65kg. running Windows 11 Home.",ASUS,Transparent Silver,2 in 1 Laptop,Intel,Core i5,16,DDR4,Intel,Integrated Graphics,FALSE,512,SSD,14,IPS,FALSE,1.65,,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Pro) 15 Thin and Light Laptop,https://www.flipkart.com/hp-15-2025-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-pro-thin-light-laptop/p/itmabb2025b1c74a?pid=COMHDPMUNPRNF9XJ&lid=LSTCOMHDPMUNPRNF9XJMXVNA6&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_93&otracker=browse&fm=organic&iid=0bd05324-8c4b-4d67-b28d-08c0558abc8a.COMHDPMUNPRNF9XJ.SEARCH&ppt=None&ppn=None&ssid=v78895f37k0000001764345646710,30990,4.1,1,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/y/3/15-thin-and-light-laptop-hp-original-imahdpmugz3dsftc.jpeg?q=70,"HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Pro) 15 Thin and Light Laptop. powered by AMD Ryzen 3. 8GB DDR4 RAM. 512.0GB SSD. AMD Radeon Radeon graphics. 15.6"" HD display. weighs 1.5kg. running Windows 11 Pro.",HP,Silver,Thin and Light Laptop,AMD,Ryzen 3,8,DDR4,AMD,Radeon Radeon,TRUE,512,SSD,15.6,HD,FALSE,1.5,,Windows 11 Pro,TRUE,FALSE,FALSE,TRUE,TRUE
laptop,Lenovo V15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light Laptop,https://www.flipkart.com/lenovo-v15-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itmd7282dfaeb5de?pid=COMHATEAHZYGZ6KF&lid=LSTCOMHATEAHZYGZ6KF1KHQ02&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_94&otracker=browse&fm=organic&iid=0bd05324-8c4b-4d67-b28d-08c0558abc8a.COMHATEAHZYGZ6KF.SEARCH&ppt=None&ppn=None&ssid=v78895f37k0000001764345646710,37890,4.1,154,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/p/v/v15-g4-thin-and-light-laptop-lenovo-original-imahasn4skjzwefy.jpeg?q=70,"Lenovo V15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light Laptop. powered by AMD Ryzen 5. 16GB DDR4 RAM. 512.0GB SSD. AMD Radeon Amd graphics. 15.6"" HD display. weighs 1.62kg. running Windows 11 Home.",Lenovo,Iron Grey,Thin and Light Laptop,AMD,Ryzen 5,16,DDR4,AMD,Radeon Amd,TRUE,512,SSD,15.6,HD,FALSE,1.62,,Windows 11 Home,TRUE,TRUE,TRUE,TRUE,TRUE
laptop,MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind...,https://www.flipkart.com/motorola-motobook-60-full-metal-oled-i7-14th-gen-intel-core-7-series-2-240h-16-gb-1-tb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itmd38998009f90e?pid=COMHAUZWMJNUBXVE&lid=LSTCOMHAUZWMJNUBXVEFCZ6QJ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_95&otracker=browse&fm=organic&iid=en_WbUK-fjYz_z09FknnULjjp_dFBWsdzrMgXilkIOdRgL9I5hdzOvrW3u2hB33umF5hGcrGrhN2tt-ZOW4zUSuE4QEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=v78895f37k0000001764345646710,58990,4.4,69,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/r/p/-original-imahg5ftvnmqhgqp.jpeg?q=70,"MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind.... powered by Intel Core 7 (Series 2). 16GB DDR5 RAM. 1024.0GB SSD. 14.0"" OLED display. weighs 1.4kg. running Windows 11 Home.",MOTOROLA,PANTONE Bronze Green,Thin and Light Laptop,Intel,Core 7 (Series 2),16,DDR5,Intel,Integrated Graphics,FALSE,1024,SSD,14,OLED,FALSE,1.4,,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a...,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-15iah8-thin-light-laptop/p/itm8dd83f96f8d79?pid=COMHEARFBRJHJCA4&lid=LSTCOMHEARFBRJHJCA4FT2WQ9&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_96&otracker=browse&fm=organic&iid=0bd05324-8c4b-4d67-b28d-08c0558abc8a.COMHEARFBRJHJCA4.SEARCH&ppt=None&ppn=None&ssid=v78895f37k0000001764345646710,47200,4.6,0,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/e/i/-original-imah8anb8kvnzpnm.jpeg?q=70,"Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a.... powered by Intel Core i5. 16GB LPDDR5 RAM. 512.0GB SSD. 15.6"" Full HD display. weighs 1.62kg. running Windows 11 Home.",Lenovo,Arctic Grey,Thin and Light Laptop,Intel,Core i5,16,LPDDR5,Intel,Integrated Graphics,FALSE,512,SSD,15.6,Full HD,FALSE,1.62,47,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB...,https://www.flipkart.com/samsung-galaxy-book4-edge-series-copilot-ai-pc-full-metal-chasis-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-np750xqb-ka1in-thin-light-laptop/p/itm1d61ec8d90cc7?pid=COMHE4ATFWNVHXHS&lid=LSTCOMHE4ATFWNVHXHSIHS0FO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_97&otracker=browse&fm=organic&iid=en_yhAyDheIErjdwlWQVDUwVysA0tosXMEN4e9F9bw4xJ0ZmJqBUEAdmbxudI1IR2-Rl3LVU23Rn5TEHCp33wMSfvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,64990,4.4,128,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/g/p/-original-imahgwkqughzkwt3.jpeg?q=70,"Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB.... powered by Qualcomm Snapdragon X. 16GB LPDDR5X RAM. 512.0GB SSD. 15.6"" HD display. weighs 1.55kg. running Windows 11 Home.",Samsung,Sapphire Blue,Thin and Light Laptop,Qualcomm,Snapdragon X,16,LPDDR5X,Qualcomm,Adreno,FALSE,512,SSD,15.6,HD,FALSE,1.55,,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj3700ws-thin-light-laptop/p/itmf31c79724a398?pid=COMHCQ5ECZZV6THK&lid=LSTCOMHCQ5ECZZV6THKTW8YMF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_98&otracker=browse&fm=organic&iid=en_yhAyDheIErjdwlWQVDUwVysA0tosXMEN4e9F9bw4xJ2HA6-MoFElFIF_KS9oiA4L33jN4jhGgPcCWMhB0VVnE_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,34990,4.3,163,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/b/l/v/-original-imahgfdffszmurd7.jpeg?q=70,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS.... powered by Intel Core i3. 8GB DDR4 RAM. 512.0GB SSD. 15.6"" Full HD display. weighs 1.7kg. running Windows 11 Home.",ASUS,Terra Cotta,Thin and Light Laptop,Intel,Core i3,8,DDR4,Intel,Integrated Graphics,FALSE,512,SSD,15.6,Full HD,FALSE,1.7,,Windows 11 Home,FALSE,FALSE,FALSE,TRUE,TRUE
laptop,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB ...",https://www.flipkart.com/asus-vivobook-go-15-2025-office-2024-m365-basic-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-bq2523ws-thin-light-laptop/p/itm313aa4209e563?pid=COMHCQ5EGANGZ3NN&lid=LSTCOMHCQ5EGANGZ3NNE2UYYT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_99&otracker=browse&fm=organic&iid=b9a1c5ab-9d56-4082-9dbe-f71ab97ec750.COMHCQ5EGANGZ3NN.SEARCH&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,36990,4.3,1,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/5/-original-imagnzg2rwxffejh.jpeg?q=70,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB .... powered by AMD Ryzen 5. 8GB LPDDR5 RAM. 512.0GB SSD. AMD Radeon Amd graphics. 15.6"" IPS display. weighs 1.63kg. running Windows 11 Home.",ASUS,Green Gray,Thin and Light Laptop,AMD,Ryzen 5,8,LPDDR5,AMD,Radeon Amd,TRUE,512,SSD,15.6,IPS,FALSE,1.63,,Windows 11 Home,TRUE,FALSE,FALSE,TRUE,TRUE
laptop,Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/1 TB SSD/Windows 11 Home) AL15-52 Thin and Ligh...,https://www.flipkart.com/acer-aspire-lite-intel-core-i3-12th-gen-1215u-16-gb-1-tb-ssd-windows-11-home-al15-52-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGWKF2XK3S2P46&lid=LSTCOMGWKF2XK3S2P46XYSLAQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_100&otracker=browse&fm=organic&iid=b9a1c5ab-9d56-4082-9dbe-f71ab97ec750.COMGWKF2XK3S2P46.SEARCH&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,37990,4.1,76,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/p/m/-original-imah2pf2u98xefzx.jpeg?q=70,"Acer Aspire Lite Intel Core i3 12th Gen 1215U - (16 GB/1 TB SSD/Windows 11 Home) AL15-52 Thin and Ligh.... powered by Intel Core i3. 16GB DDR4 RAM. 1024.0GB SSD. 15.6"" HD display. weighs 1.59kg. running Windows 11 Home.",Acer,Steel Grey,Thin and Light Laptop,Intel,Core i3,16,DDR4,Intel,Integrated Graphics,FALSE,1024,SSD,15.6,HD,FALSE,1.59,,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,https://www.flipkart.com/lenovo-ideapad-slim-3-next-gen-ai-pc-wuxga-ips-copilot-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-15q8x10-thin-light-laptop/p/itm097ac7e15511b?pid=COMHDMJYDGBTMJXG&lid=LSTCOMHDMJYDGBTMJXG112MJM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_101&otracker=browse&fm=organic&iid=en_yhAyDheIErjdwlWQVDUwVysA0tosXMEN4e9F9bw4xJ1-ZhGdlP-JYT-fMFwZYLd7CyFnIq7oQjZv4QTW91eeV_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,49990,4.3,27,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/z/z/-original-imahgfdfx3hhguyc.jpeg?q=70,"Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/.... powered by Qualcomm Snapdragon X. 16GB LPDDR5X RAM. 512.0GB SSD. 15.3"" IPS display. weighs 1.55kg. running Windows 11 Home.",Lenovo,Luna Grey,Thin and Light Laptop,Qualcomm,Snapdragon X,16,LPDDR5X,Qualcomm,Adreno,FALSE,512,SSD,15.3,IPS,FALSE,1.55,50,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_102&otracker=browse&fm=organic&iid=en_yhAyDheIErjdwlWQVDUwVysA0tosXMEN4e9F9bw4xJ25R0jJOswAME9S6jaovZOhp5iBsv_cHJc2xbWysDCSOfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,30990,4.3,233,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/p/w/-original-imahg5fxzmyzbkv8.jpeg?q=70,"Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light .... powered by Intel Core i3. 8GB DDR4 RAM. 512.0GB SSD. 14.0"" HD display. weighs 1.45kg. running Windows 11 Home.",Acer,Steel Gray,Thin and Light Laptop,Intel,Core i3,8,DDR4,Intel,Integrated Graphics,FALSE,512,SSD,14,HD,FALSE,1.45,,Windows 11 Home,FALSE,FALSE,FALSE,TRUE,TRUE
laptop,ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 N305 - (8 GB/512 GB SSD/Window...,https://www.flipkart.com/asus-vivobook-go-15-2025-office-2024-m365-basic-intel-core-i3-n305-8-gb-512-gb-ssd-windows-11-home-e1504ga-nj3322ws-e1504ga-bq1225ws-thin-light-laptop/p/itm4bbb136e0a623?pid=COMH9SJ9ZVTH69GM&lid=LSTCOMH9SJ9ZVTH69GMYO91EO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_103&otracker=browse&fm=organic&iid=b9a1c5ab-9d56-4082-9dbe-f71ab97ec750.COMH9SJ9ZVTH69GM.SEARCH&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,30980,4.3,29,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/f/m/-original-imahbqpbwkdwc733.jpeg?q=70,"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 N305 - (8 GB/512 GB SSD/Window.... powered by Intel Core i3. 8GB DDR4 RAM. 512.0GB SSD. 15.6"" Full HD display. weighs 1.63kg. running Windows 11 Home.",ASUS,Mixed Black,Thin and Light Laptop,Intel,Core i3,8,DDR4,Intel,Integrated Graphics,FALSE,512,SSD,15.6,Full HD,FALSE,1.63,,Windows 11 Home,FALSE,FALSE,FALSE,TRUE,TRUE
laptop,"ASUS Vivobook Go 15 OLED, with Backlit Keyboard, AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Window...",https://www.flipkart.com/asus-vivobook-go-15-oled-backlit-keyboard-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk521ws-thin-light-laptop/p/itm3de88f71e558b?pid=COMGMGXFT7WWNGYG&lid=LSTCOMGMGXFT7WWNGYGEMFTUI&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_104&otracker=browse&fm=organic&iid=b9a1c5ab-9d56-4082-9dbe-f71ab97ec750.COMGMGXFT7WWNGYG.SEARCH&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,40990,4.4,249,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/z/d/-original-imahg5fue8qmg6wk.jpeg?q=70,"ASUS Vivobook Go 15 OLED, with Backlit Keyboard, AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Window.... powered by AMD Ryzen 5. 8GB LPDDR5 RAM. 512.0GB SSD. AMD Radeon Amd graphics. 15.6"" OLED display. weighs 1.63kg. running Windows 11 Home.",ASUS,Cool Silver,Thin and Light Laptop,AMD,Ryzen 5,8,LPDDR5,AMD,Radeon Amd,TRUE,512,SSD,15.6,OLED,FALSE,1.63,,Windows 11 Home,TRUE,FALSE,FALSE,TRUE,TRUE
laptop,"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",https://www.flipkart.com/asus-vivobook-15-2025-i5-14th-gen-mso-2024-m365-basic-backlit-keyboard-intel-core-5-120u-16-gb-512-gb-ssd-windows-11-home-x1504vap-nj2862ws-thin-light-laptop/p/itm509f174cc1a04?pid=COMHDG7CFDWVKYMZ&lid=LSTCOMHDG7CFDWVKYMZSDYMWT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_105&otracker=browse&fm=organic&iid=en_yhAyDheIErjdwlWQVDUwVysA0tosXMEN4e9F9bw4xJ0qt2AvL_SPOEq4vizn9o0ivIyKrJOOyrWKvQt3koA-iPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,49990,4.3,79,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/u/e/-original-imahcd8gzqjnp2vv.jpeg?q=70,"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U.... powered by Intel Core 5. 16GB DDR4 RAM. 512.0GB SSD. 15.6"" Full HD display. weighs 1.7kg. running Windows 11 Home.",ASUS,Cool Silver,Thin and Light Laptop,Intel,Core 5,16,DDR4,Intel,Integrated Graphics,FALSE,512,SSD,15.6,Full HD,FALSE,1.7,,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
laptop,ASUS Expertbook P3 Metal High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/1 TB SSD/Wi...,https://www.flipkart.com/asus-expertbook-p3-metal-high-performance-processor-intel-core-i7-13th-gen-13620h-32-gb-1-tb-ssd-windows-11-home-p3405cva-ly0308ws-thin-light-laptop/p/itm97eeb89e48af8?pid=COMHB7VN6ZDDZ946&lid=LSTCOMHB7VN6ZDDZ946RHQCBL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_106&otracker=browse&fm=organic&iid=b9a1c5ab-9d56-4082-9dbe-f71ab97ec750.COMHB7VN6ZDDZ946.SEARCH&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,73990,4.3,16,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/p/g/-original-imahg53ujvb5xj2g.jpeg?q=70,"ASUS Expertbook P3 Metal High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/1 TB SSD/Wi.... powered by Intel Core i7. 32GB DDR5 RAM. 1024.0GB SSD. 14.0"" LCD display. weighs 1.42kg. running Windows 11 Home.",ASUS,Misty Grey,Thin and Light Laptop,Intel,Core i7,32,DDR5,Intel,Integrated Graphics,FALSE,1024,SSD,14,LCD,FALSE,1.42,50,Windows 11 Home,FALSE,TRUE,TRUE,TRUE,TRUE
laptop,DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RING1O Thin and ...,https://www.flipkart.com/dell-15-intel-core-i3-13th-gen-1305u-16-gb-512-gb-ssd-windows-11-home-ovn353025001ring1o-thin-light-laptop/p/itmb007cf7efac41?pid=COMHD99W94EPN2H2&lid=LSTCOMHD99W94EPN2H28GBQQL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_107&otracker=browse&fm=organic&iid=en_yhAyDheIErjdwlWQVDUwVysA0tosXMEN4e9F9bw4xJ0Dn6C550YIO0G6IuHVmm_LEkLod264BTOTANLjYPSTffUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=2faujh66a80000001764345655377,38990,4.2,31,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/i/b/-original-imahgx8ws7ypyhmd.jpeg?q=70,"DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RING1O Thin and .... powered by Intel Core i3. 16GB DDR4 RAM. 512.0GB SSD. 15.6"" HD display. weighs 1.66kg. running Windows 11 Home.",DELL,Titan Grey,Thin and Light Laptop,Intel,Core i3,16,DDR4,Intel,Integrated Graphics,FALSE,512,SSD,15.6,HD,FALSE,1.66,,Windows 11 Home,FALSE,FALSE,TRUE,TRUE,TRUE
